movie_id,movie_title,director(s),top_5_cast
1429744,Ziam,Kulp Kaljareuk,"Prin Suparat (Singh)
Nuttanicha Dungwattanawanich (Rin)
Wanvayla Boonnithipaisit (Buddy)
Johnny Anfone (Vasu)
Pimmada Boriruksuppakorn (Mink)"
968171,Sex Education Mistresses,Akira Kato,"Michiko Tsukasa (Sachiyo)
Rie Nakagawa (Reiko)
Yūko Katagiri (Machiko)
Hiroshi Ichimura (Wada)
Yasuhiko Ishizu (Hayasaka)"
1285965,Dangerous Animals,Sean Byrne,"Hassie Harrison (Zephyr)
Jai Courtney (Bruce Tucker)
Josh Heuston (Moses Markley)
Ella Newton (Heather)
Liam Greinke (Greg)"
1357933,The Cellar,Jamie Langlands,"Meghan Adara (Abigail)
Neil James (Gabriel)
Charlotte Marshall (Laura)
Mickaela Sands (Sarah)
Obie Dean (Darren)"
1151031,Bring Her Back,"Michael Philippou, Danny Philippou","Sally Hawkins (Laura)
Billy Barratt (Andy)
Sora Wong (Piper)
Jonah Wren Phillips (Oliver)
Sally-Anne Upton (Wendy)"
1406607,The Stage,Chen Pei-Si,"Chen Pei-Si (Hou Xiting)
Huang Bo (Da Sang Er / Loud Voice)
Jiang Wu (Hong Dashuai)
Yin Zheng (Jin Xiaotian)
Yang Haoyu (Manager Wu)"
1269208,Wall to Wall,Kim Tae-joon,"Kang Ha-neul (Noh Woo-sung)
Yeom Hye-ran (Jeon Eun-hwa)
Seo Hyun-woo (Yeong Jin-ho)
Jeon Jin-oh (Jeon Gwang-cheol)
Park Seong-il (Ga Ju-ho)"
1287536,Dora and the Search for Sol Dorado,Alberto Belli,"Daniella Pineda (Camila)
Samantha Lorraine (Dora)
Jacqueline Obradors (Mango (voice))
Gabriel Iglesias (Boots (voice))
Jacob Rodriguez (Diego)"
575265,Mission: Impossible - The Final Reckoning,Christopher McQuarrie,"Tom Cruise (Ethan Hunt)
Hayley Atwell (Grace)
Ving Rhames (Luther Stickell)
Simon Pegg (Benji Dunn)
Esai Morales (Gabriel)"
1275003,Spirit in the Blood,Carly May Borgstrom,"Sarah-Maxine Racicot (Delilah Soleil)
Michael Wittenborn (Pastor Carl)
Summer H. Howell (Emerson Grimm)
Greg Bryk (Julian Grimm)
Sarah Abbott (Abby)"
